,ZNF90,ZNF534,H3K9me3,KAP1,SMAD1,OCT4,TCF4,SOX2,FOXP1,FOXA1,KLF4,NANOG,MED1,H3K27ac,H3K4me1,H3K4me3,Chimeric Transcript,GRO-seq,RNA-seq
chrX_92824428_92829345_4892_ZNF534_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_44108_7up_7up_phylo____chrX_92824428-92824880____1-450,,10,,12,,,,,17,,19,2,,4,,6,,,
chrX_4891614_4897331_3482_ZNF534_EncodeRepressed_FOXP1_KLF4_NANOG_44108_TCF4_7up_7up_phylo____chrX_4891614-4892064____1-450,,10,,,,,15,,17,,19,2,,4,,6,,,
chr1_207633751_207634199_h3k27ac_enh_SOLO_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_7up_C_7up_phylo_-__chr1_207633751-207634199_-__1-448,,,,,,,15,16,17,,19,2,,4,5,,,,
chr8_1801298_1801747_h3k27ac_enh_SOLO_KLF4_NANOG_44108_7up_7up_phylo____chr8_1801298-1801747____1-449,,,,,,,,,,,19,2,,4,5,,,,
chr1_232118115_232123945_4894_transcribed_ZNF534_ZNF90_KAP1_k4me3_TSS_FOXP1_KLF4_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_GRO1of7_7up_phylo____chr1_232118115-232118565____1-450,1,10,,12,13,,15,16,17,,19,2,,4,,6,,8,9
chr12_72703222_72708969_3542_ZNF534_ZNF90_KAP1_EncodeRepressed_KLF4_NANOG_7up_7up_phylo____chr12_72703222-72703672____1-450,1,10,,12,,,,,,,19,2,,4,,6,,,
chr7_9353405_9359207_4739_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_7up_GRO4of7_C_7up_phylo_-__chr7_9358757-9359207_-__1-450,1,10,11,12,,,,,,,19,2,,4,,6,,,
chr6_97779488_97785325_4861_ZNF534_KAP1_k27ac_enh_KLF4_MED1_NANOG_44108_SOX2_TCF4_FOXA1_7up_GRO1of7_7up_phylo____chr6_97779488-97779947____1-450,,10,11,12,,,15,16,,18,19,2,3,4,,6,,8,
chr4_91623640_91629699_3347_transcribed_ZNF534_k4me3_TSSflanking_KLF4_NANOG_44108_SMAD11_SOX2_TCF4_7up_wanghigh_GRO1of7_7up_phylo____chr4_91623640-91624089____1-449,,10,,,13,,15,16,,,19,2,,4,,6,,8,9
chr3_60672203_60672653_h3k27ac_EncodeTxn_SOLO_FOXP1_KLF4_NANOG_44108_SOX2_7up_C_7up_phylo_-__chr3_60672203-60672653_-__1-450,,,,,,,,16,17,,19,2,,4,,6,,,
chr5_106978588_106984086_3273_transcribed_k4me3_TSS_KLF4_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr5_106978588-106979038____1-448,,,,,,,15,16,,18,19,2,,4,,6,,8,9
chr6_157700642_157706582_3234_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO4of7_C_7up_phylo_-__chr6_157706086-157706582_-__1-435,1,10,11,12,,,,,,,,2,,,,6,,,
chr9_12948345-12954128_3374_ZNF534_KAP1_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_OCT4_FOXA1_7up_wanghigh_GRO2of7__chr9_12948345-12948825____1-449,,10,11,12,,14,,,17,18,19,2,,4,,6,,,9
chr16_13352583_13358061_3395_ZNF534_k4me3_enh_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_C_7up_phylo_-__chr16_13357576-13358061_-__1-449,,10,,,,,15,16,17,18,19,2,,4,,6,,8,9
chr3_177665834_177671132_3349_1_EncodeTxn_NANOG_FOXA1_7up_GRO4of7_C_7up_phylo_-__chr3_177670681-177671132_-__1-449,,,,,,,,,,18,,2,,,,,,,
chr6_115031793_115037619_3648_ZNF534_KAP1_EncodeRepressed_FOXP1_KLF4_NANOG_SOX2_7up_7up_phylo____chr6_115031793-115032243____1-450,,10,11,12,,,,16,17,,19,2,,4,,6,,,
chr4_83850020_83850501_h3k27ac_enh_SOLO_KLF4_NANOG_44108_7up_C_7up_phylo_-__chr4_83850020-83850501_-__1-450,,,,,,,,,,,19,2,,4,5,6,,,
chr2_12626335_12632257_3557_ZNF534_KAP1_k27ac_EncodeTxn_FOXP1_KLF4_NANOG_44108_7up_7up_phylo____chr2_12626335-12626785____1-450,,10,,12,,,,,17,,19,2,,4,,6,,,
chr3_25858903_25859352_SOLO_KLF4_NANOG_44108_7up_C_7up_phylo_-__chr3_25858903-25859352_-__1-446,,,,,,,,,,,19,2,,4,,,,,
chr2_187557941_187566148_5677_ZNF534_k4me3_TSS_KLF4_NANOG_44108_TCF4_7up_wanghigh_chimeric_C_7up_phylo_-__chr2_187565698-187566148_-__1-450,,10,,,,,15,,,,19,2,,4,,6,7,,9
chrX_114601272_114607242_3469_ZNF534_KAP1_k4me3_EncodeTxn_KLF4_MED1_NANOG_44108_TCF4_7up_wanghigh_C_7up_phylo_-__chrX_114606794-114607242_-__1-448,,10,,12,,,15,,,,19,2,3,4,,6,,,9
chr6_121620422_121626300_3642_ZNF534_ZNF90_KAP1_EncodeTxn_FOXP1_KLF4_MED1_NANOG_44108_TCF4_FOXA1_7up_GRO1of7_C_7up_phylo_-__chr6_121625853-121626300_-__1-443,1,10,11,12,,,15,,17,18,19,2,3,4,,6,,8,
chr6_128746106_128746587_h3k27ac_weakenh_SOLO_KLF4_NANOG_44108_SOX2_7up_C_7up_phylo_-__chr6_128746106-128746587_-__1-450,,,,,,,,16,,,19,2,,4,5,,,,
chr11_23183934_23189744_3323_ZNF534_KAP1_EncodeRepressed_KLF4_NANOG_SOX2_7up_GRO4of7_C_7up_phylo_-__chr11_23189293-23189744_-__1-448,,10,,12,,,,16,,,19,2,,4,,6,,,
chr12_67766804_67772346_3494_ZNF534_KAP1_k4me3_enh_KLF4_NANOG_44108_FOXA1_7up_GRO4of7_C_7up_phylo_-__chr12_67771896-67772346_-__1-450,,10,11,12,,,,,,18,19,2,,4,,6,,,
chr2_117278753_117284509_3404_transcribed_ZNF534_k4me3_weakenh_FOXP1_KLF4_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr2_117278753-117279203____1-450,,10,,,,,15,16,17,18,19,2,,4,,6,,8,9
chr7_122816729_122822998_3415_ZNF534_ZNF90_KAP1_EncodeTxn_KLF4_NANOG_FOXA1_7up_7up_phylo____chr7_122816729-122817176____1-447,1,10,11,12,,,,,,18,19,2,,,,6,,,
chr10_20370846_20371294_h3k4me3_TSS_SOLO_KLF4_NANOG_44108_SOX2_TCF4_7up_C_7up_phylo_-__chr10_20370846-20371294_-__1-448,,,,,,,15,16,,,19,2,,4,,6,,,
chr18_32281776_32282214_SOLO_KLF4_NANOG_7up_7up_phylo____chr18_32281776-32282214____1-438,,,,,,,,,,,19,2,,4,,6,,,
chr8_127431703-127437464_4857_ZNF534_EncodeRepressed_KLF4_NANOG_FOXA1_7up_GRO2of7__chr8_127431703-127432147____1-444,,10,,,,,,,,18,19,2,,4,,6,,,
chr4_159425389_159425839_h3k27ac_weakenh_SOLO_NANOG_7up_C_7up_phylo_-__chr4_159425389-159425839_-__1-450,,,,,,,,,,,,2,,4,,,,,
chr13_88512819_88518743_3559_ZNF534_KAP1_EncodeRepressed_KLF4_NANOG_44108_SOX2_TCF4_7up_GRO3of7_C_7up_phylo_-__chr13_88518293-88518743_-__1-450,,10,11,12,,,15,16,,,19,2,,,,,,,
chr4_92271492-92277648_3293_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_OCT4_SMAD11_SOX2_TCF4_7up_wanghigh_chimeric_GRO2of7__chr4_92277198-92277648_-__1-450,,10,,,13,14,15,16,17,,19,2,,4,,6,7,,9
chr3_46246275_46252065_4913_ZNF534_ZNF90_KAP1_EncodeRepressed_KLF4_NANOG_7up_C_7up_phylo_-__chr3_46251608-46252065_-__1-450,1,10,11,12,,,,,,,19,2,,,,6,,,
chr8_128611901_128617630_3345_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_44108_FOXA1_7up_C_7up_phylo_-__chr8_128617180-128617630_-__1-450,,10,,,,,,,17,18,19,2,,4,,6,,,
chr18_57064649_57072502_4950_ZNF534_k4me3_EncodeRepressed_KLF4_NANOG_TCF4_7up_GRO3of7_C_7up_phylo_-__chr18_57072052-57072502_-__1-450,,10,,,,,15,,,,19,2,,4,5,6,,,
chr17_54345638_54346137_h3k27ac_EncodeTxn_SOLO_NANOG_SOX2_7up_7up_phylo____chr17_54345638-54346137____1-448,,,,,,,,16,,,,2,,4,,,,,
chr6_90670205_90675442_3469_1_k4me3_EncodeTxn_KLF4_NANOG_44108_SMAD11_SOX2_TCF4_7up_C_7up_phylo_-__chr6_90674992-90675442_-__1-450,,,,,13,,15,16,,,19,2,,4,5,,,,
chr6_131323296_131329137_3112_ZNF534_ZNF90_KAP1_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_44108_TCF4_7up_GRO1of7_7up_phylo____chr6_131323296-131323746____1-450,1,10,11,12,,,15,,17,,19,2,,4,,6,,8,
chrX_94704639_94705089_TSSflanking_SOLO_FOXP1_KLF4_MED1_NANOG_44108_TCF4_7up_C_7up_phylo_-__chrX_94704639-94705089_-__1-450,,,,,,,15,,17,,19,2,3,4,,6,,,
chr5_120697546-120703411_3389_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_OCT4_SMAD11_SOX2_TCF4_FOXA1_7up_wanghigh_GRO2of7__chr5_120702961-120703411_-__1-450,,10,,,13,14,15,16,17,18,19,2,3,4,,6,,,9
chr9_99675451_99675901_EncodeRepressed_SOLO_KLF4_NANOG_7up_7up_phylo____chr9_99675451-99675901____1-450,,,11,,,,,,,,19,2,,,5,,,,
chr13_86358168-86364136_3426_ZNF534_k4me3_weakenh_KLF4_NANOG_OCT4_SMAD11_SOX2_7up_GRO2of7__chr13_86358168-86358617____1-449,,10,,,13,14,,16,,,19,2,,4,,6,,,
chr12_4018541_4023694_3517_ZNF534_k4me3_EncodeTxn_KLF4_NANOG_TCF4_7up_GRO1of7_7up_phylo____chr12_4018541-4018991____1-450,,10,,,,,15,,,,19,2,,4,,6,,8,
chr21_40954769_40960696_3256_ZNF534_KAP1_EncodeTxn_FOXP1_KLF4_NANOG_SMAD11_7up_GRO3of7_7up_phylo____chr21_40954769-40955218____1-449,,10,11,12,13,,,,17,,19,2,,4,,6,,,
chr2_114790472_114790923_EncodeTxn_SOLO_KLF4_NANOG_SOX2_7up_C_7up_phylo_-__chr2_114790472-114790923_-__1-450,,,,,,,,16,,,19,2,,,,,,,
chr4_16997747_17003925_3437_ZNF534_KAP1_k4me3_EncodeTxn_KLF4_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7up_GRO1of7_7up_phylo____chr4_16997747-16998198____1-448,,10,11,12,13,,15,16,,,19,2,3,4,,6,,8,
chr2_215922303_215928126_4935_ZNF534_k4me3_EncodeTxn_KLF4_NANOG_44108_7up_wanghigh_GRO1of7_7up_phylo____chr2_215922303-215922755____1-450,,10,,,,,,,,,19,2,,4,5,6,,8,9
chr2_7872706_7878891_3338_transcribed_ZNF534_k4me3_TSS_FOXP1_KLF4_MED1_NANOG_44108_SOX2_TCF4_7up_wanghigh_GRO1of7_C_7up_phylo_-___chr2_7878441-7878891_-__1-448,,10,,,,,15,16,17,,19,2,3,4,,6,,8,9
chr21_5600080_5600530_SOLO_7up_C_7up_phylo_-__chr21_5600080-5600530_-__1-450,,,,,,,,,,,,,,,,,,,
chr21_7477084_7477534_SOLO_7up_C_7up_phylo_-__chr21_7477084-7477534_-__1-450,,,,,,,,,,,,,,,,,,,
chr21_6220440_6220890_SOLO_7up_7up_phylo____chr21_6220440-6220890____1-450,,,,,,,,,,,,,,,,,,,
chr21_7660871_7661321_SOLO_7up_7up_phylo____chr21_7660871-7661321____1-450,,,,,,,,,,,,,,,,,,,
chr1_223024396-223030156_4885_ZNF534_k4me3_TSS_KLF4_MED1_NANOG_OCT4_SOX2_TCF4_FOXA1_7up_wanghigh_GRO2of7__chr1_223029702-223030156_-__1-450,,10,,,,14,15,16,,18,19,2,3,4,,6,,,9
chr8_115212253-115217978_3275_ZNF534_ZNF90_KAP1_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_OCT4_FOXA1_7up_GRO2of7__chr8_115212253-115212703____1-450,1,10,,12,,14,,,17,18,19,2,,4,,6,,,
chr5_157945254_157945704_h3k27ac_weakenh_SOLO_KLF4_NANOG_7up_7up_phylo____chr5_157945254-157945704____1-450,,,,,,,,,,,19,2,,4,5,,,,
chr3_176321619_176327363_3232_ZNF534_k4me3_TSS_FOXP1_KLF4_NANOG_44108_SMAD11_TCF4_7up_wanghigh_GRO1of7_C_7up_phylo_-__chr3_176326913-176327363_-__1-450,,10,,,13,,15,,17,,19,2,,4,,6,,8,9
chr12_66497777_66498226_h3k27ac_enh_SOLO_KLF4_NANOG_44108_7up_7up_phylo____chr12_66497777-66498226____1-449,,,,,,,,,,,19,2,,4,5,6,,,
chr15_87831107_87837022_3360_ZNF534_EncodeTxn_KLF4_NANOG_7up_GRO3of7_7up_phylo____chr15_87831107-87831555____1-448,,10,,,,,,,,,19,2,,4,,6,,,
chr7_24396245_24401985_4981_transcribed_ZNF534_k4me3_weakenh_FOXP1_KLF4_MED1_NANOG_44108_SOX2_FOXA1_7up_wanghigh_GRO1of7_7up_phylo____chr7_24396245-24396697____1-450,,10,,,,,,16,17,18,19,2,3,4,,6,,8,9
chr1_238379439_238379888_h3k27ac_enh_SOLO_KLF4_NANOG_44108_TCF4_7up_C_7up_phylo_-__chr1_238379439-238379888_-__1-449,,,,,,,15,,,,19,2,,4,,6,,,
chr8_7903419_7909304_3197_ZNF534_KAP1_EncodeRepressed_KLF4_NANOG_7up_GRO5of7_GRO6of7_GRO7of7_C_7up_phylo_-__chr8_7908854-7909304_-__1-450,,10,11,12,,,,,,,19,2,,4,,6,,,
chr13_90848573_90854278_3504_ZNF534_k4me3_EncodeTxn_FOXP1_KLF4_NANOG_TCF4_FOXA1_7up_GRO3of7_C_7up_phylo_-__chr13_90853831-90854278_-__1-447,,10,,,,,15,,17,18,19,2,,4,,6,,,
chr16_65229805_65235349_3369_ZNF534_k4me3_TSS_KLF4_NANOG_44108_SOX2_TCF4_FOXA1_7up_wanghigh_C_7up_phylo_-__chr16_65234900-65235349_-__1-449,,10,,,,,15,16,,18,19,2,,4,,6,,,9
chr1_232229629_232234999_3450_ZNF534_KAP1_EncodeTxn_KLF4_NANOG_FOXA1_7up_GRO3of7_C_7up_phylo_-__chr1_232234550-232234999_-__1-449,,10,11,12,,,,,,18,19,2,,4,,6,,,
chr14_89440363_89440800_h3k27ac_enh_SOLO_KLF4_NANOG_44108_SOX2_7up_7up_phylo____chr14_89440363-89440800____1-437,,,,,,,,16,,,19,2,,4,5,,,,
chr6_131338800_131344564_3249_ZNF534_ZNF90_KAP1_k27ac_EncodeTxn_KLF4_NANOG_44108_TCF4_FOXA1_7up_GRO1of7_7up_phylo____chr6_131338800-131339250____1-450,1,10,,12,,,15,,,18,19,2,,4,,6,,8,
